"C03227V03891","Townlands","TLIST(A1)","CensusYear","STATISTIC","Statistic Label","UNIT","VALUE"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C7","Housing stock","Number","0"
"060001","Abberanville, Raford, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","0"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C1","Population","Number","10"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C2","Males","Number","5"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C3","Females","Number","5"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","4"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","2"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","2"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C7","Housing stock","Number","6"
"060002","Abbert, Abbey East, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","33.3"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C1","Population","Number","108"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C2","Males","Number","54"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C3","Females","Number","54"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","33"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","5"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","4"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C7","Housing stock","Number","38"
"060003","Abbert Demesne, Abbey East, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","10.5"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C1","Population","Number","48"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C2","Males","Number","23"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C3","Females","Number","25"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","17"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","3"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","3"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C7","Housing stock","Number","20"
"060004","Abbey (Leitrim By), Tynagh, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","15"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C1","Population","Number","78"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C2","Males","Number","42"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C3","Females","Number","36"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","26"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","1"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C7","Housing stock","Number","27"
"060005","Abbey (Tiaquin By), Abbey West, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","3.7"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","1"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C7","Housing stock","Number","1"
"060006","Abbeyfield, Kilconnell, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","100"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C1","Population","Number","0"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C2","Males","Number","0"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C3","Females","Number","0"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","0"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","1"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","1"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C7","Housing stock","Number","1"
"060007","Abbeygormacan, Abbeygormacan, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","100"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C1","Population","Number","34"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C2","Males","Number","22"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C3","Females","Number","12"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","11"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","8"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","8"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C7","Housing stock","Number","19"
"060008","Abbeyland Great, Clonfert, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","42.1"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C1","Population","Number","33"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C2","Males","Number","20"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C3","Females","Number","13"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","9"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","3"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","3"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C7","Housing stock","Number","12"
"060009","Abbeyland Little, Clonfert, Co. Galway","2011","2011","CD155C8","Vacancy rate","%","25"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C1","Population","Number","34"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C2","Males","Number","18"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C3","Females","Number","16"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C4","Private households occupied","Number","17"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C5","Private households unoccupied","Number","18"
"060010","Abbeyland North, Dunmore North, Co. Galway","2011","2011","CD155C6","Vacant dwellings","Number","18"
