X,Y,OBJECTID,NAME,TYPE,NO_SPACES,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.05349975087578,53.2730824698301,1,Market St,Pay/Surface Carpark,88,53.273,-9.054,529691.955,725294.803,129726.012,225265.639
-9.05450390336894,53.2705211550785,2,Jury's Hotel,Multistorey Carpark,348,53.271,-9.055,529620.784,725010.839,129654.828,224981.613
-9.05667715039195,53.2739795859689,3,Gaol Rd / Cathedral,Pay/Surface Carpark,161,53.274,-9.057,529481.534,725397.739,129515.546,225368.595
-9.0511064779365,53.2694880221671,4,Harbour,Pay/Surface Carpark, ,53.27,-9.052,529845.677,724892.562,129879.77,224863.312
-9.04957123394917,53.2747316679027,5,Eyre Square Centre,Multistorey Carpark,452,53.275,-9.05,529956.637,725474.425,129990.751,225445.3
-9.04289139067889,53.2735235091197,6,Radisson Hotel,Multistorey Carpark,260,53.274,-9.043,530400.129,725333.491,130434.34,225304.339
-9.04524869174155,53.2735485157144,7,Fairgreen House,Multistorey Carpark,400,53.274,-9.046,530242.966,725338.57,130277.142,225309.419
-9.04859014198504,53.270976202487,8,Docks,Pay/Surface Carpark,89,53.271,-9.049,530015.932,725055.66,130050.06,225026.446
-9.04992226814342,53.27601182648,9,Corrib Centre,Multistorey Carpark,580,53.276,-9.051,529935.321,725617.189,129969.43,225588.095
-9.05056632917468,53.2783771205983,10,Dyke Road,Pay/Surface Carpark,510,53.279,-9.051,529896.241,725880.965,129930.341,225851.928
-9.05423583867151,53.273851566152,11,Bowling Green,Pay/Surface Carpark (short stay),40,53.274,-9.055,529644.128,725381.091,129678.175,225351.945
-9.05765230118312,53.2710782288294,12,Mill St,Pay/Surface Carpark (short stay),82,53.271,-9.058,529411.726,725075.918,129445.724,225046.705
-9.07333841029907,53.2596098335674,13,Salthill,Surface Carpark (free parking), ,53.26,-9.074,528346.431,723815.637,128380.202,223786.148
-9.07603976043645,53.259010763215,14,Salthill,Surface Carpark (free parking), ,53.259,-9.077,528165.221,723751.7,128198.954,223722.195
-9.04738499390403,53.2702841148385,15,Harbour Hotel,Multistorey Carpark,114,53.271,-9.048,530095.177,724977.485,130129.323,224948.254
-9.04999932046953,53.2712602400181,16,Eyre Square Centre,Multistorey Carpark,480,53.271,-9.051,529922.415,725088.64,129956.523,225059.432
-9.05067741207885,53.2706371634532,17,Hynes Yard,Multistorey Carpark,114,53.271,-9.051,529876.173,725019.986,129910.271,224990.764
