newsid;headline;content;date;url;tags
1;TEMPORARY CLOSING OF ROADS Roads Act 1993 – Section 75 Roads Regulations 1994 – Article 12 Notice of Intention - Bowling Green;NOTICE IS HEREBY GIVEN that Galway City Council proposes to make an order closing: Bowling Green: Junction of Bowling Green / Market Street to the junction of Bowling Green/Abbeygate Street Upper. Period of Closure: 8.00am to 8.00pm from Monday 20th May 2024 to Friday 31st May 2024. Reason: To facilitate road overlay following watermain installation. Diversion Routes: Diversion route will be via Market Street and Abbeygate Street Upper. Localised access will be maintained at all times. Advance diversion signage will be in place prior to work commencing. Documents can be inspected at Reception, Galway City Council, City Hall, College Road, Galway, H91 X4K8, during normal office hours, from 9am to 1.00pm, Monday to Friday. Objections to the proposed temporary closure may be submitted in writing to Mr Patrick Greene, Director of Services, Galway City Council, at the above address, or by email to: roads@galwaycity.ie not later than 12 noon on Thursday 9th May 2024.;1/5/2024;https://www.galwaycity.ie/news/3720/59/TEMPORARY-CLOSING-OF-ROADS-Roads-Act-1993-Section-75-Roads-Regulations-1994-Article-12-Notice-of-Intention-Bowling-Green/d,NewsDetail;"["Roads", "Traffic", "Transport"]"
2;Galway City Council Online Sports Survey;Galway City Council would like to invite Galway City’s sports clubs and outdoor pursuits groups to have a say in how Galway City’s outdoor sports facilities can be improved. How can I get involved? Galway City Council are inviting sports clubs & outdoor groups to complete an online sports survey www.galwaycity.ie/sportssurvey The closing date for completion of the survey is 3 May 2024. How will this information be used? The information from the survey will help Galway City Council make and shape decisions such as what new outdoor facilities are needed and where to locate them based on current and future need. The survey will find out what sports are played and where they are played in the city. The information from the survey will inform the Green Spaces Strategy. You can find out more about the Green Spaces Strategy www.galwaycity.ie/green-spaces-strategy;26/4/2024;https://www.galwaycity.ie/news/3718/59/Galway-City-Council-Online-Sports-Survey/d,NewsDetail;"["Recreation"]"
3;NOTICE OF INTENTION TO UNDERTAKE DEVELOPMENT BY A LOCAL AUTHORITY UNDER SECTION 179A OF THE PLANNING AND DEVELOPMENT ACT, 2000 (AS AMENDED);Applicant: Galway City Council – Infrastructure Development and Planning - Location: Clybaun Road, Galway - Proposal: In accordance with the provisions of Section 179A of the Planning and Development Act 2000 (as amended) and the provisions of the Planning and Development Regulations 2001 (as amended) and the provisions of the Planning and Development (S179A) Regulations 2023 (S.I.101/2023) Galway City Council gives notice of its intention to carry out the following development: Development: Proposed Social and affordable housing development consisting of: (a) The demolition of an existing dwelling, sheds and outbuildings, (b) The construction of 61 no. new residential units comprising of: (i) 30 no. Terraced Houses (18 no. two-bedroom houses and 12 no. three-bedroom houses) (ii) 8 no. one-bedroom apartments (iii) 5 no. one-bedroom apartments (universal design) (iv) 15 no. two-bedroom apartments (v) 3 no. two-bedroom apartments (universal design), (c) the construction of vehicular and pedestrian access points to the site via Clybaun Road, (d) renewable energy design measures for each unit and (e) supporting development works including for (i) access roads (ii) grouped parking spaces (iii) landscaping and boundary treatments (iv) ground level alterations to accommodate the development (v) surface water management (vi) temporary construction signage (vii) estate signage. and (viii) all associated site works. In accordance with Article 81A(5) of the Planning and Development Regulations, 2001, as inserted by the Planning and Development (Section 179A) Regulations 2023 a screening for environmental impact assessment (EIA) has been carried out and it has determined that the proposed housing development would not be likely to have significant effects on the environment. A determination has been made that an Environmental Impact Assessment Report is not required and accordingly, the proposed housing development complies with the requirements of Section 179A(1) of the Planning and Development Act 2000, as amended. In accordance with Article 81A(6) of the Planning and Development Regulations, 2001, as inserted by the Planning and Development (Section 179A) Regulations 2023 a screening for appropriate assessment (AA) has been carried out and has concluded, using the best scientific knowledge, that there is no likelihood of significant effects, either individually or in combination with other plans or projects, on a European Site or Sites. Accordingly, a determination has been made that an appropriate assessment (AA) of the proposed housing development is not required and, accordingly, the proposed housing development complies with the requirements of Section 179A(1) of the Planning and Development Act 2000 (as amended). Plans and particulars of the proposed development, to include copies of the EIA and AA screenings and determinations, will be available for inspection and/or purchase at a fee not exceeding the reasonable cost of making a copy during office hours from Thursday 25th of April 2024 up to and including Monday 24th of June 2024, from 9:00am to 4:00pm, Monday to Friday (excluding bank holidays) at the offices of: Planning Office, Galway City Council, City Hall, College Road, Galway. - All plans and particulars of the proposed development can also be viewed online on the Galway City Council website at: https://www.galwaycity.ie/179afiles - A person may question the validity of any decision of the planning authority by way of an application for judicial review, under Order 84 of the Rules of the Superior Courts (S.I. No. 15 of 1986), in accordance with sections 50 and 50A of the Planning and Development Act 2000, as amended. It is proposed to commence the housing development not earlier than eight weeks from the date of this notice - Eoghan Lynch - Director of Services, Infrastructure Development and Planning;25/4/2024;https://www.galwaycity.ie/news/3704/59/NOTICE-OF-INTENTION-TO-UNDERTAKE-DEVELOPMENT-BY-A-LOCAL-AUTHORITY-UNDER-SECTION-179A-OF-THE-PLANNING-AND-DEVELOPMENT-ACT-2000-AS-AMENDED/d,NewsDetail;"["Planning"]"
4;Staff Vacancy - Tree Officer;Galway City Council is pleased to invite suitably qualified applicants for the following position: Tree Officer - Please see attached the Information/Application Booklets for the above position. Applications may be shortlisted on the basis of the information provided on the application form. - The closing date for receipt of fully completed application forms for this position is no later than 4:00pm Wednesday 22 May 2024. All fully completed application forms must reach the Human Resources Department by this date. - Please note that applications may also be submitted via email to recruitment@galwaycity.ie Please ensure to populate the subject bar as outlined in the attached application booklets. - Any queries may be forwarded to the Recruitment Team in the Human Resources Department. - Application forms and full particulars for the above posts may be obtained from www.galwaycity.ie and the Human Resources Department, City Hall, College Road, Galway. Applications will be shortlisted on the basis of the information provided on the application form.  - Tel. No. (091) 536596 Email: recruitment@galwaycity.ie - Signed: P.Philbin, Chief Executive - Interim, Galway City Council - Galway City Council is an equal opportunities employer  ;25/4/2024;https://www.galwaycity.ie/news/3708/59/Staff-Vacancy-Tree-Officer/d,NewsDetail;"["Vacancies"]"
5;Celebrating Celtic Connections – Launch of Brittany Fest 24, 25, 26 May 2024;The launch of the 4th edition of the Brittany Fest Galway was held in City Hall on Thursday 18 April 2024. Brittany Fest will take place on 24, 25, 26 May 2024 in Galway (City and County) showcasing Breton culture with games, food, a DJ and Breton musicians that will play some gigs and also give music workshops. For more details, see https://Galway-Lorient.eu/ - The Lorient delegation included Lorient Mayor Fabrice Loher, who was welcomed by Mayor of the City of Galway, Cllr Eddie Hoare. Galway City Councillors. Eveanna Ryan President of the Galway Chamber of Commerce. Catherine Gagneux, the Galway -Lorient twinning committee president and French Honorary Consul to Connacht and Donegal. - Mayor Eddie Hoare said, “As we approach the semicentennial of the official linking of Galway and Lorient in 2025, it is worth remarking that these fifty years emphasises the strength and enduring nature of our ties. We look forward to continuing this tradition. Indeed, as newer festivals like the Mini Brittany festival that takes place in Galway this May indicate we embrace an ever-deepening relationship between Ireland and Brittany with the Lorient-Galway at the forefront of this.” - Various successful events have been initiated over the last 10 years with official and business visits. Most recently, the Interceltic Business Forum second edition took place in Galway City in Portershed - with very interesting talks, collaborations, initiatives and new connections with other Celtic potential partners. Those meetings align to shared interests discussed in recent visits, as Brittany is looking to develop its Breton and Celtic identity at various levels: Lorient is the primary fishing harbour in France, where development of startups with a European dimension is very much on the agenda for the Lorient Agglomeration (district), and more academic exchanges and collaboration are also very important. - Among some recent events that took place were: soccer trips to Lorient for Bohemians FC and to Galway for Lorient FC. welcoming TARA boat in Galway. expanding new exchanges between Ile de Groix (off Lorient) with Aran Islands. offering of summer internships for young people. and so much more! - Also, a great Galway presence at the Lorient Interceltic Festival with a delegation to represent Galway Tourism, Galvian Way played every day at the festival and won best performance act. The Galway Lorient twinning curated an exhibition of 40 panels of Old Ireland in Colour from John Breslin and Sarah Ann Buckley books, as well as ‘pop art’ paintings of some of those photos, created by a young artist from Limelight Creative studio Oranmore with Hangar’t during the 2021 Galway Brittany Fest. The exhibition was presented to the French Minister of Culture and was a huge success. The exhibition is currently in Paris at the Centre Culturel Irlandais, and is likely to continue to travel. - They are certainly many opportunities and there is a lot of enthusiasm that will help shape short-, medium- and long-term Galway-Lorient projects. - Catherine Gagneux commented, “In 2025, we will be celebrate 50 years of twinning. It is a significant milestone between Galway and Lorient but also for Ireland and France as it is the first twinning between the 2 countries and proves that the ties and friendships remain strong”. - To quote the French Ambassador HE Vincent Guerend. “Through the promotion of sharing and cultural exchanges, twinnings are also an instrument of peace, encouraging the development of individual friendships between citizens of France and Ireland.” - Image – Pictured at the launch of Brittany Fest (24-26 May 2024) in Galway City Council are (left to right) Ailish Rohan, Galway City Council. Philippe Rouault. Pascal Le Liboux. Lorient Mayor, Fabrice Loher. Mayor of the City of Galway, Cllr. Eddie Hoare. Eveanna Ryan, President of the Galway Chamber of Commerce. Fabrice V?ly. Philippe Nourissat. and Catherine Gagneux, the Galway-Lorient twinning committee president and French Honorary Consul to Connacht and Donegal.;23/4/2024;https://www.galwaycity.ie/news/3697/59/Celebrating-Celtic-Connections-Launch-of-Brittany-Fest-24-25-26-May-2024/d,NewsDetail;"["Your Council"]"
6;Unleash Your Creative Energy at Cruinni? Lates – Galway City Celebrates Ireland's National Day of Youth Creativity;Calling Young Aspiring DJs! - Beats and Beyond: Learn to DJ with Renowned DJ Laura O’Connell - Galway teens (ages 16-18) are invited to explore their musical creativity with Beats and Beyond, a FREE DJ workshop series led by renowned DJ Laura O'Connell. Learn the fundamentals of DJing, connect with friends, and showcase your newfound skills in a community performance! Cruinni? na n?g is a national day of free creativity for children and young people under 18 and the flagship initiative of the Creative Ireland Programme’s Creative Youth Plan to enable the creative potential of children and young people. - Laura O'Connell, a driving force in Ireland's electronic music scene, brings her years of experience to this project. Her eclectic DJ sets have energized dance floors, radio stations, clubs, and major festivals across Ireland and the world.  A passionate advocate for inclusivity, Laura O’Connell is the co-founder of GASH Collective, which supports female, trans, queer, non-binary, and other underrepresented groups in the realms of music production and DJing. Laura is also the founder of Bounce, an accessible club night for people of all abilities. - How to Get Involved - Limited Spots –Sign Up NOW! - No experience necessary! - Commit to 6 workshops (5pm – 7pm, May: 9, 16, 21, 30, June: 6, 11) and a showcase on June 15th at Nuns Island Theatre - Deadline for Expression of Interest: Monday, May 6th. - For further information, please contact: Adam Stoneman, Galway City Council Creative Communities Engagement Officer:  adam.stoneman@galwaycity.ie - About Cruinni? na n?g - Cruinni? na n?g is Ireland's national day of free creativity for everyone under 18.  Expect tons of cool events, workshops, and performances happening all across the country! - Did you know? - Galway City is one of 9 pilot cities and towns nationally leading in creating a night-time economy action plan.  These Cruinni? Lates events are designed especially for young people, offering a safe and exciting environment to socialise and enjoy diverse experiences. They are a direct result of young people’s voices being heard. Inspired by the Night-Time Economy Taskforce Report (2021) and youth-led workshops, these events demonstrate the power of young people in shaping the future of Ireland’s nightlife. - Cruinni? Lates is supported by Galway City Council, Creative Ireland, and funded by the Department of Tourism, Culture, Arts, Gaeltacht, Sports and Media. - Let's make this year's Cruinni? Lates unforgettable! - For further information contact: Adam Stoneman, Galway City Council Creative Communities Engagement Officer: adam.stoneman@galwaycity.ie - 087 968 4654;23/4/2024;https://www.galwaycity.ie/news/3694/59/Unleash-Your-Creative-Energy-at-Cruinni%C3%BA-Lates-Galway-City-Celebrates-Irelands-National-Day-of-Youth-Creativity/d,NewsDetail;"["Community", "Culture"]"
7;New Pedestrian and Cycle Bridge Officially Named Droichead an D?chais;Following a Special Council Meeting on Monday 22 April 2024, Galway City Council has officially named the first bridge to span the Corrib in over 30 years, as ‘Droichead an D?chais’. Over 60 names were proposed by the public for the new bridge, covering ‘concepts’ such as Bridge of Dreams. geographically linked suggestions such as Corrib Jail Bridge, College Walk. and individuals including Maurice Semple, Nora Barnacle and Julia Morrissey. Council today approved the recommendation of the Civic Naming Committee in relation to the new name for the pedestrian and cycle bridge, which opened to the public in May 2023. A formal naming ceremony will take place in the coming weeks. - Speaking about the naming, Mayor of the City of Galway, Cllr Eddie Hoare commented, “The River Corrib has seen its share of people, young and old, who are suffering or have lost hope. For all those who have concerns about mental health – your own, or your loved ones - the new bridge name, Droichead an D?chais, reminds us that there is always hope. For our young people especially, we want them to have hope for the future – for their future. The proposed name reflects positive action, at a time when Climate Change is an ever-present crisis - as the new pedestrian and cycle bridge makes connections for those on foot, wheeling or cycling. As we cross over three waterways on the new bridge, we connect with our fellow Galwegians and those visiting our city too. In times when conflict and unrest are frequent headlines, Droichead an D?chais also reflects our hope for peace, and an end to the trauma and destruction that ordinary people are living with around the world. Ireland knew war and conflict in the past too, with the new name a reflection on the importance of peace and reconciliation. Finally, the name proposed is “as Gaeilge”, reflecting our proud status as a bilingual City.” - The public were invited to make suggestions for the new bridge name from late December 2023 until 6pm on Sunday 11 February 2024. The Civic Naming Committee reviewed all proposals, in relation to the Civic Naming Protocol, and agreed unanimously to recommend ‘Droichead an D?chais’ for consideration of the Corporate Policy Group and Council Members. - The public submissions proposing D?chas/ Hope said the name was, “…hope for the future. In this time of challenging climate change, Galway has put in place a solid, tangible structure to enable people to use their cars less, and walk across a beautiful river, experiencing the view, the wildlife, the fresh air…”. They also said, “…due to the amount of suicide cases can we call the bridge The Bridge of Hope…”, and “…I would like the new bridge to be named HOPE. For everyone who needs it. It helps everyone cross a river and it provides safety and strength”. - Galway City Council wishes to acknowledge the people and groups who took the time to make submissions for the naming of this significant piece of infrastructure for the people of Galway. The creativity, thought, and consideration expressed by those making submissions was greatly appreciated. There are submissions that the Civic Naming Committee will consider for other/ future commemorations, as there were several people whose service or contribution to life in Galway City were noteworthy and could be recognised in other locations/ commemorations.  - Droichead an D?chais opened in May 2023, creating a new public space for locals and tourists alike to cross over three watercourses, while taking in the wildlife, natural and built heritage around them. This new bridge was funded by the Department of Transport through the National Transport Authority’s (NTA) Active Travel Programme and European Regional Development Funding (ERDF). - Image: Droichead an D?chais, following it’s official opening to the public in May 2023.;22/4/2024;https://www.galwaycity.ie/news/3693/59/New-Pedestrian-and-Cycle-Bridge-Officially-Named-Droichead-an-D%C3%B3chais/d,NewsDetail;"["Your Council"]"
8;City Hall Welcomes Helium Arts: Celebrating Youth Empowerment Through Art;The Mayor of the City of Galway, Cllr Eddie Hoare, welcomed practitioners and young people involved in Helium Arts to City Hall last week, in recognition of the valuable work of the group. Helium Arts is an award-winning children’s arts and health charity that aims to improve the personal, health and social outcomes of children and young people with lifelong physical health conditions by providing opportunities for creativity and connection that they may not otherwise have access to. Through a series of arts-based workshops, they create safe and inclusive spaces that inspire creativity, spark friendships, and improve mental health and well-being. Five young people, ages 6-16, and their families met with Mayor Hoare to showcase some of their work, and to speak about the impact of their participation in the Helium Arts programmes in Galway. The charity hosts workshops across various locations in Galway, including the Westside Library, GRETB FET Centre in Athenry, and the Loughrea Family Resource Centre. - Speaking about the reception, Mayor Hoare commented, “I’m delighted to welcome the children, young people, families and practitioners involved in Helium Arts. The children and young people in City Hall this afternoon are showing us a small flavour of the brilliance, creativity and imagination they possess. Creativity gives children – and adults – opportunities to try out new ideas, new ways of thinking and problem solving – with the added bonus of producing some new spectacular for the eyes, the ears and the senses. We are all natural explorers – it’s how babies and young children discover their world, make connections and make sense of the world. These children and young people remind us how important it is to continue to unlock our natural curiosity and sense of experimentation – to build community, spark friendships, reveal new skills and interests, and empower young people to overcome adversity. I want to congratulate you all for challenging yourself to participate in the Helium Arts programmes, and for producing such spectacular results”. - The Mayor also acknowledged the work of the artists and volunteers in Helium Arts, whose skills, technical expertise and time are crucial to draw out the talents of the children and young people, and to support them on their journey of self-discovery and resilience building. - Helium Arts supports children and young people living with lifelong health conditions including diabetes, epilepsy, cystic fibrosis, allergies, heart conditions, asthma, spina bifida, juvenile arthritis, rare or complex conditions and many more. - Helene Hugel, CEO and Artistic Director for Helium Arts said, “In Ireland, 13% (136,000) of children live with the challenges of a lifelong health condition. 18,000 of these children are considered as severely hampered in their everyday lives. Research shows that young people living with health conditions face loneliness, stress, anxiety, and can feel defined by their condition. They experience stigma associated with their condition, social isolation and loneliness and fewer quality friendships. - At Helium Arts, we're committed to addressing these challenges year-round. Our community workshops serve as safe and accessible spaces where children navigating health conditions can come together. Here, they have the opportunity to connect, forge friendships and unlock their potential by discovering new skills and interests.  We believe that creativity can empower young people to feel confident, worthwhile and respected and this helps them to become more prepared and capable in daily life. - According to a recent independent evaluation of our community programme, 100% of parents reported that their child experienced an improved quality of life after participating in Helium Arts workshops. This is a testament to the positive impact of our work on the lives of these young individuals and their families.” - Children and young people interested in participating in a Helium Arts event – online, or in person - can find details of events taking place nationwide on https://Helium.ie/Workshops/ - Upcoming Galway City events include ‘Galway Spring Saturdays’ for ages 8-12, and ‘Galway Saturday Meet Ups’, for ages 13-16.;19/4/2024;https://www.galwaycity.ie/news/3691/59/City-Hall-Welcomes-Helium-Arts-Celebrating-Youth-Empowerment-Through-Art-/d,NewsDetail;"["Your Council"]"
9;Notice of Election;Local Authority: Galway City Council - An election of members for each of the local electoral areas of Galway - City Council is about to be held: • Galway City East • Galway City Central • Galway City West - Nomination papers may be obtained from the address below during the usual office hours: Monday to Friday, 9.00 a.m. to 4.00 p.m. or from www.GalwayCity.ie (Opens in new window) - A person may nominate himself/herself as a candidate or may, with his/her consent, be nominated by a proposer who is registered as a local government elector in the local electoral area of the local authority for which he/she proposes to nominate the candidate. - A nomination paper from a candidate of a registered political party must have a certificate of political affiliation attached which must be produced to me with his/her completed nomination paper. - If no certificate is attached, the candidate must, before the latest time for receiving nominations, either-secure 15 assents to the nomination by way of statutory declarations by local government electors registered in the relevant local electoral area (forms available from me or the registration authority), or make a deposit of €100 (deposit may also be made on the candidate’s behalf). - The latest time for receiving nominations is 12 noon on Saturday, 18th May, 2024. Completed nomination papers may be delivered to me in person by the candidate or his/her proposer at any time when I am at my office, from 10 a.m. on Saturday 11th May, 2024 until 12 noon Saturday 18th May, 2024 being the last day for receiving nominations. - I am required by law to attend to receive nominations between 10 a.m. and 12 noon and between 2.00 p.m. and 5.00 p.m. on Friday 17th May, 2024 and between 10.00 a.m. and 12.00 noon on Saturday 18th May, 2024. - If the election is contested, a poll will be taken on the 7th day of June, 2024 between the hours of 7.00 a.m. and 10.00 p.m. - Gary McMahon,Returning Officer, Address: Galway City Council, College Road, Galway H91 X4K8;18/4/2024;https://www.galwaycity.ie/news/3688/59/Notice-of-Election/d,NewsDetail;"["Your Council"]"
10;Official Opening of Galway City Council’s ‘Changing Places’ facility at Ladies Beach, Salthill, Galway;Galway City Council is delighted to announce the official opening of a new, state of the art ‘Changing Places’ facility, located next to the existing toilet block at Ladies Beach, Salthill. The facility was opened by Mayor of the City of Galway, Cllr Eddie Hoare, in advance of the 2024 bathing season. - ‘Changing Places’ are facilities for people with multiple and complex disabilities who have one or two assistants with them. Facilities include a hoist, an adjustable height changing platform, an adjustable height basin and a privacy screen, all of which provides safety and comfort for users as well as being integral to the care of people with profound and multiple disabilities. - The Changing Place will be open from 6am to 10pm daily. Access to the Changing Place is free, with a passcode. To get the passcode, users can call Customer Services on the number on the front of the Changing Places facility. -  Speaking about the official opening, Mayor Hoare commented, “I’m delighted to officially launch this facility for people with multiple and complex disabilities visiting Salthill. It’s important that they can enjoy the Blue Flag beach, knowing they have comfortable and appropriate sanitary facilities available to them. This facility is specifically for people with multiple and complex disabilities who have one or two assistants with them and I would ask members of the public to respect that, and not to try to access the Changing Place. Wheelchair accessible toilets and changing areas on Ladies Beach are also available to the public at this location”. - Emergency procedures are in place, including alarms, and there will be a freephone 24-hour helpline provided in case of emergency. - This project was developed as a result of a motion that was proposed by Cllr. Clodagh Higgins and agreed by all other voting members. The motion was to provide for a Changing Places Accessible Facility in the City to help enhance the dignity of someone who may need extra support and additional equipment during personal care tasks. - Cllr. Higgins said, “I am delighted to see that Galway’s first Changing Places facility is now open and I am proud to have driven this project since 2019 by first setting down a motion and then securing funding in the pact to deliver this much needed facility”. Cllr. Higgins concluded “this facility will improve the quality of life of all those who need it by providing a safe warm and hygienic space that they can attend to their personal needs with dignity and safety”. - The Changing Places facility is designed to the requirements of BS8300 18.6 Changing Places Toilets and the Changing Places UK Consortium Practical Guide. This facility is registered to Changing Places Ireland https://ChangingPlaces.ie For more information, email Environment@GalwayCity.ie;16/4/2024;https://www.galwaycity.ie/news/3686/59/Official-Opening-of-Galway-City-Councils-Changing-Places-facility-at-Ladies-Beach-Salthill-Galway/d,NewsDetail;"["Environment"]"
